lon,lat,slope,vs30,geology,xvf,region,vs30measured,custom_site_id
16.16207,38.5312,0.16719146,804.29834,PALEOZOIC,85.25405116737076,2,0,t_287
16.00486,38.53589,0.031062284,403.67172,PLEISTOCENE,72.53033318859715,2,0,t_288
16.31928,38.52638,0.055441134,532.3982,PALEOZOIC,98.1321424106178,2,0,t_289
16.40103,38.58565,0.010700493,472.8272,HOLOCENE,102.29044234128207,2,0,t_290
16.24375,38.59054,0.11331929,693.6633,PALEOZOIC,89.39144952322933,2,0,t_291
16.48287,38.64486,0.16781549,793.0734,PALEOZOIC,106.44518732408628,2,0,t_292
16.32551,38.64982,0.030683786,503.73508,PRECAMBRIAN,93.55140886127845,2,0,t_293
16.40736,38.70905,0.09360728,606.95874,PRECAMBRIAN,97.70733881023884,2,0,t_294
16.2499,38.71395,0.07260969,478.7376,PLEISTOCENE,84.81569906786117,2,0,t_295
16.48929,38.76823,0.039879683,496.35065,PLEISTOCENE,101.8578106485493,2,0,t_296
16.08645,38.5953,0.019361274,385.80032,PLEISTOCENE,76.48957025594902,2,0,t_297
15.92914,38.59992,0.085286714,628.03625,PALEOZOIC,63.601903716691645,2,0,t_298
16.16813,38.65465,0.02626703,451.01138,PLEISTOCENE,80.65458089558881,2,0,t_299
16.01075,38.65934,0.03753993,431.8585,CENOZOIC,67.75637526683214,2,0,t_300
16.57131,38.82735,0.035021015,455.6528,PLEISTOCENE,106.0052710745122,2,0,t_301
