STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
CTUN3,TUNJA,5.557,-73.361,seismic,SGS_Recording_Stations,ROCA,0.0179472563,0.0268179412,0.0225081887,0.0174074552,0.0,0.0,0.0,0.0,0.0108340705,0.0165446115,0.0150617488,0.009717202,0.0179472563,0.0268179412,0.0225081887,0.0174074552,0.0043255592,0.0063859203,0.0068169522,0.0051898456,,,,,,,,
CPRAD,EMBALSE,3.755,-74.891,seismic,SGS_Recording_Stations,ROCA,0.0170037896,0.0245995208,0.0170550276,0.0153541224,0.0,0.0,0.0,0.0,0.0170037896,0.0245995208,0.0170550276,0.0153541224,0.009166842,0.0185318453,0.0122872064,0.0072009056,0.0129791087,0.0192514428,0.014472668,0.0111490173,,,,,,,,
CFQNE,EMBALSE,5.47,-73.738,seismic,SGS_Recording_Stations,ROCA,0.016078307,0.0354266665,0.020724855,0.0133677708,0.0,0.0,0.0,0.0,0.016078307,0.0298512305,0.020724855,0.0133677708,0.0119933537,0.0354266665,0.0139726553,0.0061173768,0.009054073,0.0121546295,0.0115455637,0.0087251634,,,,,,,,
CGUAD,GUADUAS,5.067,-74.593,seismic,SGS_Recording_Stations,ROCA,0.0132513093,0.0439951135,0.0126465804,0.0083242589,0.0,0.0,0.0,0.0,0.0119359976,0.0439951135,0.0126465804,0.0067385712,0.0132513093,0.0326520694,0.0115309848,0.0083242589,0.0077985476,0.0103654709,0.0050481329,0.0044892088,,,,,,,,
CMAN1,MANIZALES,5.043,-75.314,seismic,SGS_Recording_Stations,SUELO,0.0120055054,0.0167272733,0.0253229165,0.0160976143,0.0,0.0,0.0,0.0,0.0120055054,0.0167272733,0.0253229165,0.0160976143,0.0034190345,0.0076392663,0.0119568168,0.0091632844,0.0054517896,0.0124957557,0.0062624852,0.0048331682,,,,,,,,
CARBE,ARBELAEZ,4.253,-74.437,seismic,SGS_Recording_Stations,ROCA,0.011738652,0.0303056246,0.0155871979,0.0122200185,0.0,0.0,0.0,0.0,0.007732928,0.0224926638,0.0116773176,0.0059894634,0.011738652,0.0303056246,0.0155871979,0.0122200185,0.0239380999,0.0367978494,0.0244417855,0.0240239074,,,,,,,,
CCALA,CALARCA,4.509,-75.627,seismic,SGS_Recording_Stations,ROCA,0.0113517382,0.0126034839,0.0105259821,0.010248194,0.0,0.0,0.0,0.0,0.0113517382,0.0126034839,0.0105259821,0.010248194,0.0075312082,0.0090771108,0.0079831852,0.0074039738,0.0182145965,0.0188353083,0.0182982499,0.0187462162,,,,,,,,
CARME,ARMENIA,4.55,-75.66,seismic,SGS_Recording_Stations,SUELO,0.0113507662,0.0213488976,0.0332150093,0.0066090464,0.0,0.0,0.0,0.0,0.0093982124,0.0213488976,0.0161932213,0.0050455724,0.0113507662,0.0197704934,0.0332150093,0.0066090464,0.0039055927,0.0065339686,0.0052919157,0.0042741241,,,,,,,,
CCUC3,CUCUTA,7.873,-72.507,seismic,SGS_Recording_Stations,ROCA,0.0110221806,0.0119732205,0.01325155,0.0113270347,0.0,0.0,0.0,0.0,0.001341074,0.0022242138,0.0025097318,0.0016892915,0.0110221806,0.0119732205,0.01325155,0.0113270347,0.0058396754,0.0060740516,0.0064861502,0.0061381607,,,,,,,,
CFILA,FILADELFIA,5.297,-75.568,seismic,SGS_Recording_Stations,ROCA,0.0091614948,0.0100990477,0.009771621,0.0109282925,0.0,0.0,0.0,0.0,0.0091614948,0.0100990477,0.009771621,0.0109282925,0.006817653,0.0074127459,0.0075855545,0.0080857451,0.0112987564,0.0119180443,0.011676585,0.0122405812,,,,,,,,
CIBA3,IBAGUE,4.4319,-75.188,seismic,SGS_Recording_Stations,SUELO,0.0087697207,0.0211991115,0.0089392649,0.0094983151,0.0,0.0,0.0,0.0,0.0087697207,0.0211991115,0.0079645184,0.0065174704,0.0072220656,0.0117628377,0.0089392649,0.0094983151,0.0135961778,0.0251424376,0.0147588397,0.0151453157,,,,,,,,
CANAP,ANAPOIMA,4.5502,-74.5141,seismic,SGS_Recording_Stations,ROCA,0.0073537916,0.0133238093,0.014934955,0.0095292752,0.0,0.0,0.0,0.0,0.0067554365,0.0123519323,0.0084179271,0.0095292752,0.0073537916,0.0133238093,0.014934955,0.0081107149,0.0125795572,0.0158014278,0.0155248625,0.015115964,,,,,,,,
CTRUJ,TRUJILLO,4.219,-76.322,seismic,SGS_Recording_Stations,ROCA,0.0069241036,0.0077405801,0.0075404837,0.0071551267,0.0,0.0,0.0,0.0,0.0022116298,0.0029453757,0.0026355657,0.0026434142,0.0069241036,0.0077405801,0.0075404837,0.0071551267,0.0029203238,0.0033060698,0.0035860742,0.0030741884,,,,,,,,
CANSE,ANSERMA,5.264,-75.815,seismic,SGS_Recording_Stations,ROCA,0.005905781,0.0067606731,0.0071799329,0.0069270784,0.0,0.0,0.0,0.0,0.005402696,0.0065524838,0.006699076,0.0069270784,0.005905781,0.0067606731,0.0071799329,0.0065392426,0.0145345411,0.0148633501,0.0152355689,0.0173685961,,,,,,,,
CROSA,EL ROSAL ,4.848,-74.321,seismic,SGS_Recording_Stations,ROCA,0.0046419931,0.0108168171,0.0115060455,0.0069170121,0.0,0.0,0.0,0.0,0.0046419931,0.0086437385,0.0109597348,0.0047638311,0.0040684273,0.0108168171,0.0115060455,0.0069170121,0.0051825052,0.0084484296,0.0063118961,0.0069622909,,,,,,,,
CBUC1,FLORIDABLANCA,7.072,-73.074,seismic,SGS_Recording_Stations,ROCA,0.0039371874,0.0049976001,0.0052967019,0.0039961913,0.0,0.0,0.0,0.0,0.0039371874,0.0049976001,0.0052967019,0.0039961913,0.002384672,0.0032713875,0.0049203128,0.0026452444,0.0187215698,0.0191760563,0.0193677938,0.0188422499,,,,,,,,
CMARI,CMARI,4.51,-74.11,seismic,Stations_RAB,SUELO,0.06,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CUSAQ,CUSAQ,4.71,-74.03,seismic,Stations_RAB,SUELO,0.05,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CUNMA,CUNMA,4.64,-74.05,seismic,Stations_RAB,SUELO,0.05,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CJABO,CJABO,4.67,-74.1,seismic,Stations_RAB,SUELO,0.04,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CBOG1,CBOG1,4.64,-74.08,seismic,Stations_RAB,SUELO,0.038,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CNINO,CNINO,4.7,-74.09,seismic,Stations_RAB,SUELO,0.037,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CTEJE,CTEJE,4.62,-74.1,seismic,Stations_RAB,SUELO,0.037,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CAVIA,CAVIA,4.69,-74.12,seismic,Stations_RAB,SUELO,0.031,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CEING,CEING,4.78,-74.05,seismic,Stations_RAB,SUELO,0.029,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CBOSA,CBOSA,4.61,-74.19,seismic,Stations_RAB,SUELO,0.027,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CVITE,CVITE,4.58,-74.07,seismic,Stations_RAB,SUELO,0.026,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CTUNA,CTUNA,4.58,-74.13,seismic,Stations_RAB,SUELO,0.026,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CUAGR,CUAGR,4.75,-74.05,seismic,Stations_RAB,SUELO,0.023,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CCITE,CCITE,4.64,-74.07,seismic,Stations_RAB,SUELO,0.022,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CGRAL,CGRAL,4.59,-74.13,seismic,Stations_RAB,SUELO,0.022,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CFONT,CFONT,4.66,-74.15,seismic,Stations_RAB,SUELO,0.022,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CTIEM,CTIEM,4.7,-74.16,seismic,Stations_RAB,SUELO,0.021,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CFLOD,CFLOD,4.73,-74.15,seismic,Stations_RAB,SUELO,0.021,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CCKEN,CCKEN,4.6,-74.1,seismic,Stations_RAB,SUELO,0.018,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CCORP,CCORP,4.76,-74.09,seismic,Stations_RAB,SUELO,0.018,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CUSAL,CUSAL,4.76,-74.03,seismic,Stations_RAB,SUELO,0.017,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CESCA,CESCA,4.68,-74.03,seismic,Stations_RAB,SUELO,0.017,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CTIMI,CTIMI,4.61,-74.15,seismic,Stations_RAB,SUELO,0.016,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CBANC,CBANC,4.71,-74.08,seismic,Stations_RAB,SUELO,0.015,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
CSMOR,CSMOR,4.58,-74.17,seismic,Stations_RAB,SUELO,0.01,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
UTM:(18N 0650 0455 5000),UTM:(18N 0650 0455 5000),4.1379,-73.6261,macroseismic,Stations_USGS,,0.13082,0.275764,,0.088318,0.8059,1.0131,,1.0822,,,,,,,,,,,,,444.31,5.7,0.3,0.875,8.7198,1.4737,0.019061,inferred
UTM:(18N 0600 0510 5000),UTM:(18N 0600 0510 5000),4.6361,-74.0759,macroseismic,Stations_USGS,,0.067016,0.157144,,0.051965,0.8059,1.0131,,1.0822,,,,,,,,,,,,,325.67,4.9,0.3,0.875,4.8679,1.4737,0.011625,inferred
UTM:(18N 0600 0535 5000),UTM:(18N 0600 0535 5000),4.8622,-74.0756,macroseismic,Stations_USGS,,0.030505,0.040616,,0.01654,0.8059,1.0131,,1.0822,,,,,,,,,,,,,569.46,4.0,0.3,0.875,1.8191,1.4737,0.00301,inferred
UTM:(18N 0420 0500 5000),UTM:(18N 0420 0500 5000),4.5458,-75.6987,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,760.0,3.3,0.3,,,,,inferred
UTM:(18N 0680 0610 5000),UTM:(18N 0680 0610 5000),5.539,-73.3525,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,,760.0,3.7,0.3,,,,,inferred
