STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
NOAINT_47,YMITTOS ATHINA(11671) (Intensity V),37.95,23.744,macroseismic,Stations_USGS,0.052918,0.8059,0.086527,1.0131,,,0.041294,1.0822,421.16,inferred,4.5,0.3,0.875,3.8837,1.4737,0.008931
NOAINT_46,PHILOTHEI ATHINA(8396) (Intensity V),38.023,23.776,macroseismic,Stations_USGS,0.052557,0.8059,0.085768,1.0131,,,0.041628,1.0822,429.09,inferred,4.5,0.3,0.875,3.8837,1.4737,0.009039
NOAINT_26,KARAISKAKIS AITOLOAKARNANIA(742) (Intensity V),38.561,21.077,macroseismic,Stations_USGS,0.051825,0.8059,0.111508,1.0131,,,0.079299,1.0822,900,inferred,5,0.3,0.875,5.5907,1.4737,0.01756
NOAINT_43,NEA-ERYTHRAIA ATHINA(12993) (Intensity V),38.093,23.82,macroseismic,Stations_USGS,0.051612,0.8059,0.083787,1.0131,,,0.042526,1.0822,475.18,inferred,4.5,0.3,0.875,3.8837,1.4737,0.009334
NOAINT_42,MELISSIA ATHINA(13469) (Intensity V),38.055,23.839,macroseismic,Stations_USGS,0.051208,0.8059,0.082944,1.0131,,,0.042921,1.0822,518.77,inferred,4.5,0.3,0.875,3.8837,1.4737,0.009464
NOAINT_44,NEA-PENTELI ATHINA(4332) (Intensity V),38.064,23.861,macroseismic,Stations_USGS,0.050759,0.8059,0.082009,1.0131,,,0.043368,1.0822,591.09,inferred,4.5,0.3,0.875,3.8837,1.4737,0.009613
NOAINT_41,TERPSITHEA AITOLOAKARNANIA(247) (Intensity V),38.556,21.972,macroseismic,Stations_USGS,0.044115,0.8059,0.068452,1.0131,,,0.04863,1.0822,812.97,inferred,4.5,0.3,0.875,3.8837,1.4737,0.010805
NOAINT_40,RIGANIO AITOLOAKARNANIA(325) (Intensity V),38.481,21.761,macroseismic,Stations_USGS,0.042603,0.8059,0.065446,1.0131,,,0.04968,1.0822,719.29,inferred,4.5,0.3,0.875,3.8837,1.4737,0.011067
NOAINT_38,KONISKA AITOLOAKARNANIA(317) (Intensity V),38.649,21.754,macroseismic,Stations_USGS,0.04183,0.8059,0.063921,1.0131,,,0.050241,1.0822,900,inferred,4.5,0.3,0.875,3.8837,1.4737,0.011207
NOAINT_36,KAINOURGIO AITOLOAKARNANIA(3249) (Intensity V),38.62,21.481,macroseismic,Stations_USGS,0.040101,0.8059,0.06054,1.0131,,,0.051557,1.0822,469.33,inferred,4.5,0.3,0.875,3.8837,1.4737,0.011537
NOAINT_39,NEA-AVORANI AITOLOAKARNANIA(943) (Intensity V),38.607,21.452,macroseismic,Stations_USGS,0.039961,0.8059,0.060266,1.0131,,,0.051669,1.0822,402.86,inferred,4.5,0.3,0.875,3.8837,1.4737,0.011565
NOAINT_37,KATOUNA AITOLOAKARNANIA(2763) (Intensity V),38.866,21.058,macroseismic,Stations_USGS,0.036073,0.8059,0.054982,1.0131,,,0.053975,1.0822,651.75,inferred,4.5,0.3,0.875,3.8837,1.4737,0.012145
NOAINT_60,NAFPAKTOS AITOLOAKARNANIA(10854) (Intensity IV),38.392,21.824,macroseismic,Stations_USGS,0.024878,0.8059,0.033989,1.0131,,,0.024281,1.0822,598.04,inferred,4,0.3,0.875,2.0945,1.4737,0.004725
NOAINT_65,TRIKORPHO AITOLOAKARNANIA(483) (Intensity IV),38.418,21.652,macroseismic,Stations_USGS,0.022789,0.8059,0.032418,1.0131,,,0.025354,1.0822,578.3,inferred,4,0.3,0.875,2.0945,1.4737,0.005042
NOAINT_54,KATO-MAKRINOU AITOLOAKARNANIA(852) (Intensity IV),38.486,21.617,macroseismic,Stations_USGS,0.022195,0.8059,0.03196,1.0131,,,0.025686,1.0822,866.65,inferred,4,0.3,0.875,2.0945,1.4737,0.005142
NOAINT_48,AGIOS-THOMAS AITOLOAKARNANIA(679) (Intensity IV),38.39,21.472,macroseismic,Stations_USGS,0.021153,0.8059,0.031141,1.0131,,,0.026302,1.0822,450.93,inferred,4,0.3,0.875,2.0945,1.4737,0.005328
NOAINT_63,PARAVOLA AITOLOAKARNANIA(2115) (Intensity IV),38.622,21.525,macroseismic,Stations_USGS,0.020851,0.8059,0.030901,1.0131,,,0.02649,1.0822,900,inferred,4,0.3,0.875,2.0945,1.4737,0.005385
NOAINT_51,ANO-KERASOVO AITOLOAKARNANIA(511) (Intensity IV),38.476,21.454,macroseismic,Stations_USGS,0.020784,0.8059,0.030847,1.0131,,,0.026532,1.0822,820.75,inferred,4,0.3,0.875,2.0945,1.4737,0.005398
NOAINT_62,PAPPADATES AITOLOAKARNANIA(1733) (Intensity IV),38.526,21.448,macroseismic,Stations_USGS,0.020587,0.8059,0.030689,1.0131,,,0.026656,1.0822,677.58,inferred,4,0.3,0.875,2.0945,1.4737,0.005436
NOAINT_52,CHRYSOVERGI AITOLOAKARNANIA(641) (Intensity IV),38.508,21.353,macroseismic,Stations_USGS,0.019913,0.8059,0.030143,1.0131,,,0.027098,1.0822,679.96,inferred,4,0.3,0.875,2.0945,1.4737,0.005572
NOAINT_53,DOKIMIO AITOLOAKARNANIA(2198) (Intensity IV),38.595,21.361,macroseismic,Stations_USGS,0.019724,0.8059,0.029988,1.0131,,,0.027226,1.0822,244.29,inferred,4,0.3,0.875,2.0945,1.4737,0.005611
NOAINT_49,AGIOS-VLASIOS AITOLOAKARNANIA(445) (Intensity IV),38.837,21.495,macroseismic,Stations_USGS,0.019673,0.8059,0.029946,1.0131,,,0.02726,1.0822,575.75,inferred,4,0.3,0.875,2.0945,1.4737,0.005622
NOAINT_58,LYSIMACHEIA AITOLOAKARNANIA(659) (Intensity IV),38.55,21.334,macroseismic,Stations_USGS,0.019664,0.8059,0.029939,1.0131,,,0.027266,1.0822,583.41,inferred,4,0.3,0.875,2.0945,1.4737,0.005624
NOAINT_64,SARGIADA AITOLOAKARNANIA(373) (Intensity IV),38.769,21.393,macroseismic,Stations_USGS,0.01932,0.8059,0.029655,1.0131,,,0.027505,1.0822,494.01,inferred,4,0.3,0.875,2.0945,1.4737,0.005698
NOAINT_50,ANGELOKASTRO AITOLOAKARNANIA(1849) (Intensity IV),38.578,21.289,macroseismic,Stations_USGS,0.019279,0.8059,0.029621,1.0131,,,0.027534,1.0822,449.3,inferred,4,0.3,0.875,2.0945,1.4737,0.005707
NOAINT_57,LESINI AITOLOAKARNANIA(943) (Intensity IV),38.459,21.199,macroseismic,Stations_USGS,0.018947,0.8059,0.029345,1.0131,,,0.02777,1.0822,449.05,inferred,4,0.3,0.875,2.0945,1.4737,0.00578
NOAINT_61,PALAIOMANINA AITOLOAKARNANIA(983) (Intensity IV),38.542,21.222,macroseismic,Stations_USGS,0.018927,0.8059,0.029328,1.0131,,,0.027785,1.0822,384.38,inferred,4,0.3,0.875,2.0945,1.4737,0.005785
NOAINT_56,KONOPINA AITOLOAKARNANIA(667) (Intensity IV),38.746,21.138,macroseismic,Stations_USGS,0.017905,0.8059,0.028463,1.0131,,,0.028556,1.0822,494.65,inferred,4,0.3,0.875,2.0945,1.4737,0.006028
NOAINT_55,KOMPOTI AITOLOAKARNANIA(516) (Intensity IV),38.755,21.04,macroseismic,Stations_USGS,0.017371,0.8059,0.028001,1.0131,,,0.028986,1.0822,760,inferred,4,0.3,0.875,2.0945,1.4737,0.006164
NOAINT_59,MONASTIRAKI AITOLOAKARNANIA(1802) (Intensity IV),38.847,20.918,macroseismic,Stations_USGS,0.016572,0.8059,0.027299,1.0131,,,0.029666,1.0822,760,inferred,4,0.3,0.875,2.0945,1.4737,0.006383
NOAINT_72,GAVALOU AITOLOAKARNANIA(1376) (Intensity III),38.495,21.539,macroseismic,Stations_USGS,,,,,,,,,899.2,inferred,3,0.3,,,,
NOAINT_95,ANO-VASILIKI AITOLOAKARNANIA(183) (Intensity I),38.381,21.597,macroseismic,Stations_USGS,,,,,,,,,785.55,inferred,,,,,,
NOAINT_87,RIGANI AITOLOAKARNANIA(599) (Intensity III),38.583,21.238,macroseismic,Stations_USGS,,,,,,,,,571.44,inferred,2.5,0.3,,,,
NOAINT_84,TRYPHOS AITOLOAKARNANIA(1011) (Intensity III),38.812,21.047,macroseismic,Stations_USGS,,,,,,,,,683.16,inferred,3,0.3,,,,
NOAINT_92,AGIOS-NIKOLAOS-VONITSAS AITOLOAKARNANIA(448) (Intensity I),38.889,20.787,macroseismic,Stations_USGS,,,,,,,,,760,inferred,1,0.3,,,,
NOAINT_85,PANTANASSA AITOLOAKARNANIA(805) (Intensity III),38.59,21.557,macroseismic,Stations_USGS,,,,,,,,,600,inferred,2.5,0.3,,,,
NOAINT_67,AGRINIO AITOLOAKARNANIA(40934) (Intensity III),38.656,21.434,macroseismic,Stations_USGS,,,,,,,,,478.59,inferred,3,0.3,,,,
NOAINT_69,APHROXYLIA AITOLOAKARNANIA(307) (Intensity III),38.426,21.77,macroseismic,Stations_USGS,,,,,,,,,804.11,inferred,3,0.3,,,,
NOAINT_73,GRAMMATIKOU AITOLOAKARNANIA(1037) (Intensity III),38.534,21.5,macroseismic,Stations_USGS,,,,,,,,,485.76,inferred,3,0.3,,,,
NOAINT_66,AGIA-PARASKEVI AITOLOAKARNANIA(301) (Intensity III),38.69,21.534,macroseismic,Stations_USGS,,,,,,,,,900,inferred,3,0.3,,,,
NOAINT_80,PAPPADATOS AITOLOAKARNANIA(1059) (Intensity III),38.732,21.195,macroseismic,Stations_USGS,,,,,,,,,341.75,inferred,3,0.3,,,,
NOAINT_91,AETOPETRA AITOLOAKARNANIA(322) (Intensity I),38.61,21.685,macroseismic,Stations_USGS,,,,,,,,,900,inferred,,,,,,
NOAINT_89,ASTAKOS AITOLOAKARNANIA(2542) (Intensity II),38.506,21.102,macroseismic,Stations_USGS,,,,,,,,,552.11,inferred,2,0.3,,,,
NOAINT_78,PALIAMPELA AITOLOAKARNANIA(1062) (Intensity III),38.919,20.955,macroseismic,Stations_USGS,,,,,,,,,760,inferred,3,0.3,,,,
NOAINT_74,KATO-KERASOVO AITOLOAKARNANIA(623) (Intensity III),38.516,21.431,macroseismic,Stations_USGS,,,,,,,,,726.31,inferred,3,0.3,,,,
NOAINT_86,PLAGIA AITOLOAKARNANIA(950) (Intensity III),38.817,20.791,macroseismic,Stations_USGS,,,,,,,,,760,inferred,2.5,0.3,,,,
NOAINT_94,AMPHILOCHIA AITOLOAKARNANIA(5116) (Intensity I),38.838,21.152,macroseismic,Stations_USGS,,,,,,,,,554.73,inferred,,,,,,
NOAINT_99,VARETADA AITOLOAKARNANIA(314) (Intensity I),38.854,21.286,macroseismic,Stations_USGS,,,,,,,,,431.85,inferred,,,,,,
NOAINT_90,VASILOPOULO AITOLOAKARNANIA(636) (Intensity II),38.598,21.072,macroseismic,Stations_USGS,,,,,,,,,829.27,inferred,2,0.3,,,,
NOAINT_96,ELAIOPHYTO AITOLOAKARNANIA(1533) (Intensity I),38.667,21.383,macroseismic,Stations_USGS,,,,,,,,,641.65,inferred,,,,,,
NOAINT_97,GOURIOTISSA AITOLOAKARNANIA(756) (Intensity I),38.613,21.229,macroseismic,Stations_USGS,,,,,,,,,458.26,inferred,,,,,,
NOAINT_98,THYRIO AITOLOAKARNANIA(1330) (Intensity I),38.865,20.987,macroseismic,Stations_USGS,,,,,,,,,760,inferred,1,0.3,,,,
NOAINT_88,SITARALONA AITOLOAKARNANIA(333) (Intensity III),38.524,21.641,macroseismic,Stations_USGS,,,,,,,,,600,inferred,2.5,0.3,,,,
NOAINT_71,DRYMOS AITOLOAKARNANIA(688) (Intensity III),38.868,21.03,macroseismic,Stations_USGS,,,,,,,,,760,inferred,3,0.3,,,,
NOAINT_76,MYRTIA AITOLOAKARNANIA(880) (Intensity III),38.581,21.601,macroseismic,Stations_USGS,,,,,,,,,600,inferred,3,0.3,,,,
NOAINT_83,STAMNA AITOLOAKARNANIA(1291) (Intensity III),38.526,21.287,macroseismic,Stations_USGS,,,,,,,,,350.74,inferred,3,0.3,,,,
NOAINT_81,PENTALOPHO AITOLOAKARNANIA(1233) (Intensity III),38.5,21.215,macroseismic,Stations_USGS,,,,,,,,,391.77,inferred,3,0.3,,,,
NOAINT_79,PANAITOLIO AITOLOAKARNANIA(3330) (Intensity III),38.563,21.441,macroseismic,Stations_USGS,,,,,,,,,281.63,inferred,3,0.3,,,,
NOAINT_75,KYPARISSOS AITOLOAKARNANIA(324) (Intensity III),38.77,21.471,macroseismic,Stations_USGS,,,,,,,,,726.92,inferred,3,0.3,,,,
NOAINT_77,PALAIROS AITOLOAKARNANIA(2302) (Intensity III),38.795,20.91,macroseismic,Stations_USGS,,,,,,,,,760,inferred,3,0.3,,,,
NOAINT_93,AMPELAKI AITOLOAKARNANIA(1096) (Intensity I),38.926,21.233,macroseismic,Stations_USGS,,,,,,,,,490.76,inferred,,,,,,
NOAINT_68,AMORGIANOI AITOLOAKARNANIA(648) (Intensity III),38.828,21.386,macroseismic,Stations_USGS,,,,,,,,,609.32,inferred,3,0.3,,,,
NOAINT_70,ARACHOVA AITOLOAKARNANIA(280) (Intensity III),38.684,21.863,macroseismic,Stations_USGS,,,,,,,,,900,inferred,3,0.3,,,,
NOAINT_82,PLATANOS AITOLOAKARNANIA(285) (Intensity III),38.591,21.787,macroseismic,Stations_USGS,,,,,,,,,900,inferred,3,0.3,,,,
