STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
OBS_7,Zonguldak (Intensity VII),41.45352,31.78938,macroseismic,Stations_USGS,,0.242088,0.8059,0.477484,1.0131,,,0.409684,1.0822,590.7,inferred,7.0,0.3,0.875,26.6655,1.4737,0.079707
OBS_5,Izmit (Intensity VII),40.76389,29.93041,macroseismic,Stations_USGS,,0.237619,0.8059,0.472829,1.0131,,,0.41439,1.0822,600.0,inferred,7.0,0.3,0.875,26.6655,1.4737,0.080733
OBS_8,Bilecik (Intensity VII),40.14257,29.97933,macroseismic,Stations_USGS,,0.223461,0.8059,0.457803,1.0131,,,0.43029,1.0822,506.29,inferred,7.0,0.3,0.875,26.6655,1.4737,0.084213
OBS_6,Yalova (Intensity VII),40.6549,29.28419,macroseismic,Stations_USGS,,0.207298,0.8059,0.440085,1.0131,,,0.450553,1.0822,363.76,inferred,7.0,0.3,0.875,26.6655,1.4737,0.08867
OBS_9,Bursa (Intensity VII),40.18285,29.06708,macroseismic,Stations_USGS,,0.196271,0.8059,0.427618,1.0131,,,0.465904,1.0822,588.83,inferred,,,0.875,26.6655,1.4737,0.092063
D0531,LDEO Station No. D0531 WF,40.703,30.855,seismic,Stations_USGS,,0.158163,0.0,0.473469,0.0,,,0.075612,0.0,596.78,inferred,5.6,0.63,0.0,8.84,0.0,0.019286
C1059,LDEO Station No. C1059 FP,40.745,30.872,seismic,Stations_USGS,,0.157143,0.0,0.309184,0.0,,,0.09398,0.0,877.41,inferred,5.4,0.63,0.0,7.79,0.0,0.024388
C1061,LDEO Station No. C1061,40.72,30.792,seismic,Stations_USGS,,0.126531,0.0,0.57551,0.0,,,0.084694,0.0,768.94,inferred,5.5,0.63,0.0,8.76,0.0,0.02449
MDR,Mudurnu-Kaymakamlik Binasi,40.463,31.182,seismic,Stations_USGS,,0.120408,0.0,0.584694,0.0,,,0.052449,0.0,475.5,inferred,5.1,0.63,0.0,6.42,0.0,0.033878
OBS_14,Karabuk (Intensity VI),41.19562,32.62265,macroseismic,Stations_USGS,,0.119046,0.8059,0.261482,1.0131,,,0.195391,1.0822,544.73,inferred,6.0,0.3,0.875,12.8675,1.4737,0.039388
OBS_12,Eskisehir (Intensity VI),39.77088,30.5156,macroseismic,Stations_USGS,,0.117327,0.8059,0.25949,1.0131,,,0.19714,1.0822,196.99,inferred,6.0,0.3,0.875,12.8675,1.4737,0.039783
OBS_13,Bartin (Intensity VI),41.6376,32.33381,macroseismic,Stations_USGS,,0.115968,0.8059,0.257905,1.0131,,,0.198554,1.0822,531.83,inferred,6.0,0.3,0.875,12.8675,1.4737,0.040103
C1058,LDEO Station No. C1058 BV,40.755,31.015,seismic,Stations_USGS,,0.111224,0.0,0.121429,0.0,,,0.132653,0.0,900.0,inferred,5.9,0.63,0.0,12.4,0.0,0.068163
OBS_15,Ankara (Intensity VI),39.92088,32.85393,macroseismic,Stations_USGS,,0.108577,0.8059,0.249129,1.0131,,,0.206732,1.0822,394.75,inferred,6.0,0.3,0.875,12.8675,1.4737,0.041959
OBS_11,Kutahya (Intensity VI),39.41988,29.98562,macroseismic,Stations_USGS,,0.105627,0.8059,0.245547,1.0131,,,0.210252,1.0822,578.67,inferred,6.0,0.3,0.875,12.8675,1.4737,0.042761
OBS_16,Cankiri (Intensity VI),40.60021,33.61622,macroseismic,Stations_USGS,,0.103136,0.8059,0.242486,1.0131,,,0.21335,1.0822,614.5,inferred,6.0,0.3,0.875,12.8675,1.4737,0.043467
OBS_17,Kastamonu (Intensity VI),41.37663,33.7765,macroseismic,Stations_USGS,,0.100024,0.8059,0.238612,1.0131,,,0.217394,1.0822,473.46,inferred,6.0,0.3,0.875,12.8675,1.4737,0.044392
OBS_10,Balikesir (Intensity VI),39.65046,27.88834,macroseismic,Stations_USGS,,0.091386,0.8059,0.227547,1.0131,,,0.229768,1.0822,382.91,inferred,6.0,0.3,0.875,12.8675,1.4737,0.047233
OBS_18,Tekirdag (Intensity VI),40.97809,27.51167,macroseismic,Stations_USGS,,0.091196,0.8059,0.227298,1.0131,,,0.230061,1.0822,486.92,inferred,6.0,0.3,0.875,12.8675,1.4737,0.047301
OBS_24,Kirikkale (Intensity V),39.83978,33.50876,macroseismic,Stations_USGS,,0.053855,0.8059,0.105064,1.0131,,,0.098077,1.0822,441.42,inferred,5.0,0.3,0.875,6.2092,1.4737,0.020612
C1060,LDEO Station No. C1060 BU,40.777,30.613,seismic,Stations_USGS,,0.052551,0.0,0.145918,0.0,,,0.034286,0.0,451.76,inferred,4.6,0.63,0.0,4.64,0.0,0.013163
OBS_23,Afyon (Intensity V),38.75687,30.53887,macroseismic,Stations_USGS,,0.052475,0.8059,0.101609,1.0131,,,0.09965,1.0822,485.48,inferred,5.0,0.3,0.875,6.2092,1.4737,0.020983
HIL,Hilal (Yalova),40.647,29.265,seismic,Stations_USGS,,0.05051,0.0,,,,,,,408.64,inferred,,,,,,
OBS_27,Kirsehir (Intensity V),39.14608,34.1595,macroseismic,Stations_USGS,,0.048719,0.8059,0.092342,1.0131,,,0.104291,1.0822,335.94,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022081
OBS_25,Corum (Intensity V),40.55061,34.95294,macroseismic,Stations_USGS,,0.048573,0.8059,0.091986,1.0131,,,0.104483,1.0822,374.37,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022127
OBS_19,Manisa (Intensity V),38.61407,27.4276,macroseismic,Stations_USGS,,0.048528,0.8059,0.091875,1.0131,,,0.104542,1.0822,437.96,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022141
OBS_28,Isparta (Intensity V),37.76402,30.55957,macroseismic,Stations_USGS,,0.048528,0.8059,0.091875,1.0131,,,0.104542,1.0822,646.96,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022141
OBS_22,Denizli (Intensity V),37.78306,29.08543,macroseismic,Stations_USGS,,0.048528,0.8059,0.091875,1.0131,,,0.104542,1.0822,453.47,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022141
OBS_29,Burdur (Intensity V),37.71834,30.28233,macroseismic,Stations_USGS,,0.048528,0.8059,0.091875,1.0131,,,0.104542,1.0822,449.1,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022141
OBS_20,Izmir (Intensity V),38.418,27.128,macroseismic,Stations_USGS,,0.048528,0.8059,0.091875,1.0131,,,0.104542,1.0822,600.0,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022141
OBS_26,Yozgat (Intensity V),39.82105,34.80857,macroseismic,Stations_USGS,,0.048528,0.8059,0.091875,1.0131,,,0.104542,1.0822,601.03,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022141
OBS_21,Aydin (Intensity V),37.85001,27.84393,macroseismic,Stations_USGS,,0.048528,0.8059,0.091875,1.0131,,,0.104542,1.0822,531.74,inferred,5.0,0.3,0.875,6.2092,1.4737,0.022141
GLCK,Golcuk,40.726,29.815,seismic,Stations_USGS,,0.042143,0.0,0.183673,0.0,,,0.145918,0.0,462.01,inferred,5.0,0.63,0.0,6.06,0.0,0.012959
C0362,LDEO Station No. C0362 CH,40.67,30.666,seismic,Stations_USGS,,0.041122,0.0,0.071531,0.0,,,0.102041,0.0,245.67,inferred,4.6,0.63,0.0,4.75,0.0,0.009929
HAS,Hastane (Yalova),40.653,29.263,seismic,Stations_USGS,,0.040816,0.0,,,,,,,408.64,inferred,4.4,0.63,,,,
ATS,Ambarli-Termik Santrali,40.981,28.693,seismic,Stations_USGS,,0.038367,0.0,0.051224,0.0,,,0.062653,0.0,527.54,inferred,4.8,0.63,0.0,5.27,0.0,0.018367
RUZ,Ruzgar (Yalova),40.647,29.277,seismic,Stations_USGS,,0.034898,0.0,,,,,,,363.76,inferred,,,,,,
FAT,Fatih-Tomb,41.02,28.95,seismic,Stations_USGS,,0.034184,0.0,0.061122,0.0,,,0.043673,0.0,350.56,inferred,4.2,0.63,0.0,3.57,0.0,0.006041
ZYT,Istanbul-Zeytinburnu,40.986,28.908,seismic,Stations_USGS,,0.02949,0.0,0.046327,0.0,,,0.049694,0.0,600.0,inferred,4.3,0.63,0.0,3.61,0.0,0.006582
TAR,Tar (Yalova),40.658,29.248,seismic,Stations_USGS,,0.029286,0.0,,,,,,,408.64,inferred,,,,,,
GYN,Goynuk-Devlet Hastanesi,40.381,30.734,seismic,Stations_USGS,,0.026122,0.0,0.049592,0.0,,,0.040102,0.0,643.06,inferred,4.0,0.63,0.0,2.57,0.0,0.016531
KAS,Kasif (Yalova),40.657,29.291,seismic,Stations_USGS,,0.025408,0.0,,,,,,,363.76,inferred,,,,,,
BAH,Bahcevan (Yalova),40.652,29.282,seismic,Stations_USGS,,0.025102,0.0,,,,,,,363.76,inferred,,,,,,
SKR,Sakarya-Bayindirlik ve Iskan Mudurlugu,40.737,30.379,seismic,Stations_USGS,,0.023163,0.0,0.058571,0.0,,,0.015,0.0,336.33,inferred,3.8,0.63,0.0,2.07,0.0,0.005439
BAG,Baglaralti (Yalova),40.654,29.274,seismic,Stations_USGS,,0.022347,0.0,,,,,,,363.76,inferred,,,,,,
IZN,Iznik-Karayollari Sefligi Muracaati,40.437,29.691,seismic,Stations_USGS,,0.022143,0.0,0.082041,0.0,,,0.02398,0.0,247.81,inferred,3.8,0.63,0.0,2.03,0.0,0.003153
