# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:USGS, Rupture:Heraketal2021
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
s_2,16.250400000000013,46.4481,0.010345842,0.017633835,0.02601741
s_3,15.45689999999999,45.826,0.016187774,0.028280167,0.04295716
s_4,13.633600000000001,45.9875,0.0013764966,0.0022608063,0.003485951
s_5,14.839300000000009,45.8033,0.005076126,0.008818745,0.015927494
s_6,15.251800000000003,45.5043,0.008771386,0.014722781,0.02218277
s_7,13.64500000000001,46.1733,0.00131065,0.0021709483,0.0034346504
s_75,14.527800000000013,46.0438,0.0030086152,0.005271308,0.008163509
s_76,15.113900000000001,46.6365,0.0030857131,0.0055508786,0.009009375
s_77,14.701400000000007,46.1016,0.0033876551,0.0061018653,0.009725199
s_78,14.4221,45.7381,0.0027022893,0.0046903016,0.0072914455
s_79,13.633700000000005,45.9875,0.0014442602,0.0023425203,0.0034862538
s_8,13.1481,46.5491,0.0009259669,0.0014593602,0.002076757
s_80,11.673900000000003,45.3617,0.00054149056,0.000764558,0.00071973266
s_81,13.335199999999986,43.0627,0.00046309474,0.00063794374,0.00052057655
s_82,11.649699999999996,46.0482,0.0005532381,0.00078376115,0.00075100694
s_83,15.523200000000003,47.2505,0.0018585711,0.0031053978,0.004777949
s_84,10.52430000000001,45.6183,0.0003820085,0.00051008584,0.00033660265
s_85,13.001100000000008,46.4142,0.00095350004,0.0014641216,0.0019365891
s_86,12.58680000000001,42.6085,0.00034628873,0.00045504668,0.0002649068
s_87,13.087299999999999,43.0365,0.00043758296,0.0005973636,0.00045995403
s_88,13.701599999999985,48.8451,0.000471479,0.0006513275,0.0005409565
s_89,10.313099999999991,44.7637,0.00033635713,0.00043979613,0.00024603613
s_9,17.183899999999994,44.7488,0.0019079436,0.0031927004,0.0049264645
s_90,13.57820000000001,49.1309,0.0004135386,0.00055937,0.00040496886
s_91,15.74369999999999,41.7546,0.00034100804,0.0004469689,0.00025485377
s_92,10.263499999999993,46.6203,0.00035182928,0.00046346887,0.00027552323
