# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:GEM, Rupture:Heraketal2021
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_10,15.610369999999989,44.38676,0.0021970866,0.0016508535,0.0029240565,0.0013573102,0.0035564373
t_100,14.981549999999999,44.77067,0.0022943225,0.0018038232,0.0029181994,0.0014173805,0.0037138339
t_1000,14.801890000000014,46.15666,0.0045832414,0.0039880965,0.0052672005,0.0028314227,0.007418921
t_1001,14.622230000000002,46.21885,0.003912337,0.0032965688,0.004643125,0.0024169532,0.006332924
t_1002,14.712060000000008,46.21885,0.0050436356,0.0043082954,0.005904483,0.0031158437,0.008164164
t_1003,14.801890000000014,46.21885,0.0048096594,0.0041644466,0.005554838,0.0029712988,0.0077854255
t_1004,14.801890000000014,46.28097,0.0041043153,0.0035331121,0.0047678663,0.0025355532,0.006643681
t_1005,14.712060000000008,46.28097,0.0035198587,0.002990313,0.00414318,0.002174489,0.005697617
t_1006,14.442560000000014,46.0944,0.0036037825,0.0029743563,0.0043664067,0.0022263352,0.005833465
t_1007,14.532399999999996,46.15666,0.003536556,0.0029511927,0.0042380253,0.0021848043,0.0057246448
t_1008,14.442560000000014,46.15666,0.0036027706,0.0029643641,0.004378665,0.00222571,0.005831827
t_1009,14.352730000000008,46.15666,0.00330765,0.0026833033,0.0040772688,0.0020433913,0.0053541134
t_101,15.071380000000005,44.83441,0.002481591,0.001991655,0.0030920482,0.0015330706,0.0040169666
t_1010,14.352730000000008,46.21885,0.0037976138,0.0030695945,0.0046982984,0.0023460798,0.0061472207
t_1011,14.442560000000014,46.21885,0.004192141,0.0034360474,0.005114611,0.0025898097,0.006785844
t_1012,14.532399999999996,46.21885,0.00418118,0.0034749063,0.005031004,0.0025830385,0.006768102
t_1013,14.442560000000014,46.28097,0.0033886393,0.0027647775,0.004153273,0.0020934246,0.005485211
t_1014,14.532399999999996,46.28097,0.002986208,0.002469795,0.0036105986,0.0018448117,0.0048337933
t_1015,14.352730000000008,46.28097,0.0034208025,0.002753052,0.0042505157,0.0021132943,0.005537274
t_1016,14.173069999999996,46.15666,0.0021650994,0.0017071897,0.0027458316,0.0013375494,0.0035046597
t_1017,14.08323999999999,46.15666,0.00196264,0.0015256263,0.002524836,0.0012124747,0.0031769376
t_1018,13.993410000000011,46.15666,0.0017385277,0.0013322318,0.002268733,0.001074023,0.0028141653
t_1019,13.993410000000011,46.21885,0.00177175,0.0013536764,0.0023189427,0.001094547,0.0028679427
t_102,14.981549999999999,44.83441,0.0024534673,0.0019529593,0.0030822468,0.0015156966,0.0039714426
t_1020,14.262900000000002,46.21885,0.0025872826,0.00206221,0.003246047,0.0015983646,0.00418805
t_1021,14.173069999999996,46.21885,0.0021865913,0.0017185068,0.002782172,0.0013508266,0.0035394488
t_1022,14.08323999999999,46.21885,0.0019388575,0.0015024606,0.0025020079,0.0011977822,0.0031384404
t_1023,14.262900000000002,46.28097,0.0025404305,0.002016546,0.0032004165,0.0015694204,0.0041122106
t_1024,13.993410000000011,46.28097,0.0020388877,0.0015522455,0.0026780965,0.0012595786,0.0033003602
t_1025,14.173069999999996,46.28097,0.0024877521,0.0019475572,0.0031777814,0.001536877,0.0040269396
t_1026,14.622230000000002,46.28097,0.0031752659,0.002661803,0.003787776,0.0019616075,0.0051398226
t_1027,14.712060000000008,46.34302,0.0033469498,0.002825767,0.0039642593,0.0020676698,0.0054177283
t_1028,14.801890000000014,46.34302,0.003908658,0.00334251,0.0045706984,0.0024146803,0.0063269683
t_1029,14.622230000000002,46.34302,0.0030426492,0.0025356847,0.0036509724,0.0018796799,0.004925155
t_103,14.981549999999999,44.89808,0.0026073612,0.0021007487,0.0032361478,0.0016107687,0.004220552
t_1030,14.801890000000014,46.405,0.0037112029,0.0031504608,0.0043717497,0.002292697,0.006007347
t_1031,14.622230000000002,46.405,0.0030903372,0.0025585738,0.00373262,0.0019091404,0.0050023478
t_1032,14.712060000000008,46.405,0.0031795616,0.0026658962,0.0037922,0.001964261,0.005146776
t_1033,14.801890000000014,46.46691,0.0037728646,0.0031773222,0.0044800327,0.0023307903,0.006107159
t_1034,14.712060000000008,46.46691,0.003454872,0.0028748608,0.004151902,0.0021343417,0.0055924226
t_1035,14.08323999999999,46.28097,0.0019829476,0.0015309063,0.0025684664,0.0012250202,0.0032098095
t_1036,14.262900000000002,46.34302,0.002464604,0.0019470679,0.0031197027,0.0015225766,0.0039894697
t_1037,14.173069999999996,46.34302,0.0024306662,0.0018942578,0.0031189728,0.0015016106,0.0039345347
t_1038,13.993410000000011,46.34302,0.0019433098,0.0014733747,0.0025631313,0.0012005328,0.0031456475
t_1039,14.08323999999999,46.34302,0.00224819,0.0017281886,0.0029246572,0.001388881,0.0036391593
t_104,15.071380000000005,44.89808,0.0025173032,0.002045661,0.003097686,0.0015551329,0.004074774
t_1040,14.08323999999999,46.405,0.0023568803,0.0018028846,0.0030811098,0.0014560274,0.0038150968
t_1041,14.173069999999996,46.405,0.002025975,0.0015708043,0.00261304,0.0012516015,0.003279458
t_1042,14.262900000000002,46.405,0.002103085,0.0016525675,0.0026764206,0.0012992382,0.0034042764
t_1043,13.993410000000011,46.405,0.0018124995,0.001367768,0.002401836,0.0011197211,0.002933904
t_1044,14.08323999999999,46.46691,0.001969452,0.0014983433,0.0025886863,0.0012166828,0.003187964
t_1045,14.352730000000008,46.34302,0.0023165906,0.001855081,0.0028929152,0.0014311372,0.0037498793
