STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE_V,VS30,VS30_TYPE ,MAX_ACC_(CM/S2),VS30_TYPE,STATION_STATUS,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
INS,INS San José,9.93584,-84.07605,seismic,RSN - https://www.lis.ucr.ac.cr/87,,0.0279,0,,,,,,27.4,measured,INAC,,,,,,,,,,
HIST_4,"Cartago, Costa Rica",9.867,-83.925,seismic,Stations_USGS,,0.261735,0,,,,402.89,,,inferred,,6.6,0.63,0,20.7,0,0.594898,0,0.232653,0,0.029592
HIST_6,"San Jose, Costa Rica",9.937,-84.054,seismic,Stations_USGS,,0.193673,0,,,,384.5,,,inferred,,5.9,0.63,0,12.3,0,0.519388,0,0.09,0,0.033673
HIST_2,"San Isidro, Costa Rica",9.373,-83.705,seismic,Stations_USGS,,0.188265,0,,,,331.66,,,inferred,,6.1,0.63,0,14.3,0,0.594898,0,0.139796,0,0.015204
HIST_3,"Cachi, Costa Rica",9.842,-83.805,seismic,Stations_USGS,,0.143776,0,,,,594.04,,,inferred,,5.8,0.63,0,11.4,0,0.272449,0,0.17449,0,0.023265
HIST_11,"San Jose, Costa Rica",9.916,-84.099,seismic,Stations_USGS,,0.119082,0,,,,340,,,inferred,,5.3,0.63,0,7.8,0,0.270408,0,0.087857,0,0.017041
HIST_9,"Alajuela, Costa Rica",10.019,-84.22,seismic,Stations_USGS,,0.114592,0,,,,426.74,,,inferred,,5.7,0.63,0,10.6,0,0.257143,0,0.152041,0,0.016939
HIST_5,"Guatuso, Costa Rica",9.87,-84.038,seismic,Stations_USGS,,0.105306,0,,,,659.87,,,inferred,,5.5,0.63,0,9.3,0,0.240816,0,0.087551,0,0.010714
HIST_8,"San Jose, Costa Rica",9.938,-84.078,seismic,Stations_USGS,,0.102347,0,,,,285.48,,,inferred,,6.4,0.63,0,18,0,0.14898,0,0.113265,0,0.052347
HIST_13,"San Ramon, Costa Rica",10.088,-84.482,seismic,Stations_USGS,,0.094082,0,,,,329.15,,,inferred,,5.8,0.63,0,11.2,0,0.171429,0,0.218367,0,0.009796
