# 19961009_M6.8_Cyprus median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_233,32.94024000000002,35.37084,0.03396935,0.034613162,0.03333752,0.025337072,0.04554263
t_234,33.75889999999998,35.20016,0.019399507,0.018605577,0.020227315,0.014460064,0.026026225
t_235,33.87818999999999,35.21597,0.016894443,0.015982417,0.017858515,0.012588024,0.022674108
t_236,33.802760000000006,35.22607,0.01850505,0.017637204,0.019415598,0.013790202,0.024831897
t_237,33.846630000000005,35.25198,0.016781015,0.015894102,0.017717421,0.0125034405,0.022521999
t_238,33.771169999999984,35.26206,0.018058667,0.017229581,0.018927649,0.013457301,0.02423335
t_239,33.89053000000001,35.27787,0.015886037,0.014952178,0.016878221,0.011835286,0.0213232
t_24,32.67187999999999,34.77004,0.09496809,0.10460178,0.08622165,0.072055034,0.12516735
t_240,34.02233000000001,35.35545,0.013032184,0.012036293,0.014110477,0.009707497,0.017495532
t_241,33.815049999999985,35.28797,0.018226616,0.017280607,0.019224415,0.013580382,0.02446246
t_242,33.739570000000015,35.29804,0.01874999,0.017904049,0.019635899,0.013972083,0.025161752
t_243,33.934439999999995,35.30374,0.014518849,0.013579617,0.015523042,0.010815879,0.01948958
t_244,33.858959999999996,35.31386,0.016041322,0.015113007,0.01702666,0.0119508775,0.02153181
t_245,33.783450000000016,35.32395,0.014853036,0.014093466,0.015653543,0.011066574,0.01993505
t_246,33.978380000000016,35.3296,0.013945505,0.01296138,0.015004353,0.010388207,0.01872095
t_247,33.90288000000001,35.33975,0.014223292,0.013315707,0.015192736,0.010595646,0.01909294
t_248,33.82736,35.34985,0.01484416,0.013996039,0.015743675,0.011058849,0.019925136
t_249,33.751840000000016,35.35993,0.013394343,0.012717047,0.014107711,0.009979509,0.017977681
t_25,33.12313,34.71177,0.038975056,0.039402664,0.03855209,0.03590259,0.04231046
t_250,33.94682,35.36561,0.014163548,0.013176091,0.015225009,0.010550592,0.019013729
t_251,33.87128999999999,35.37574,0.0133772055,0.012533087,0.014278176,0.009965273,0.017957324
t_252,33.79575,35.38583,0.013023101,0.012286214,0.013804184,0.009702016,0.017481023
t_253,33.99078,35.39146,0.014014474,0.0129550425,0.015160544,0.010439167,0.018814288
t_254,33.91523999999998,35.40161,0.011426829,0.010637974,0.012274181,0.008511932,0.015339929
