STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
GPA,GPA,30.3167,40.285,seismic,571.34,2.8,0.63,0.0,0.00081,0.0,0.3646,0.0,0.001321,0.0,0.001685,0.0,0.000919,inferred,Stations_USGS
HYBA,HYBA,29.0941,40.878,seismic,600.0,2.6,0.63,0.0,0.001432,0.0,0.2725,0.0,0.002374,0.0,0.003021,0.0,0.001181,inferred,Stations_USGS
KCTX,KCTX,28.3353,40.2626,seismic,492.26,2.8,0.63,0.0,0.002627,0.0,0.3596,0.0,0.003734,0.0,0.004779,0.0,0.001594,inferred,Stations_USGS
KRBG,KRBG,27.2977,40.3932,seismic,399.62,2.9,0.63,0.0,0.002515,0.0,0.4099,0.0,0.004163,0.0,0.005077,0.0,0.001759,inferred,Stations_USGS
KUSD,KUSD,27.2815,37.86,seismic,740.53,4.4,0.63,0.0,0.04584,0.0,3.5259,0.0,0.064108,0.0,0.097646,0.0,0.009498,inferred,Stations_USGS
NAZL,NAZL,28.2922,37.9641,seismic,583.57,3.8,0.63,0.0,0.021578,0.0,1.8054,0.0,0.075739,0.0,0.017816,0.0,0.002823,inferred,Stations_USGS
ORLT,ORLT,28.8914,40.0452,seismic,551.09,3.2,0.63,0.0,0.003159,0.0,0.7077,0.0,0.010447,0.0,0.00543,0.0,0.002355,inferred,Stations_USGS
OSMT,OSMT,29.7,40.601,seismic,875.61,2.8,0.63,0.0,0.00115,0.0,0.397,0.0,0.001682,0.0,0.001867,0.0,0.00187,inferred,Stations_USGS
SHAP,SHAP,29.222,39.0231,seismic,512.59,3.0,0.63,0.0,0.001951,0.0,0.5079,0.0,0.003248,0.0,0.004339,0.0,0.002377,inferred,Stations_USGS
SINB,SINB,28.5392,40.9998,seismic,424.22,3.1,0.63,0.0,0.003001,0.0,0.6145,0.0,0.004517,0.0,0.005673,0.0,0.003072,inferred,Stations_USGS
SMAA,SMAA,28.9805,39.1005,seismic,274.72,4.0,0.63,0.0,0.012138,0.0,2.6379,0.0,0.023325,0.0,0.034224,0.0,0.009501,inferred,Stations_USGS
SOMA,SOMA,27.5341,39.1564,seismic,900.0,3.7,0.63,0.0,0.013581,0.0,1.2674,0.0,0.036765,0.0,0.018861,0.0,0.006303,inferred,Stations_USGS
SUSR,SUSR,28.0835,39.9627,seismic,743.5,3.0,0.63,0.0,0.002502,0.0,0.5028,0.0,0.005904,0.0,0.004914,0.0,0.001315,inferred,Stations_USGS
