# 19961009_M6.8_Cyprus median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_211,33.25031999999999,35.17198,0.020890847,0.018959435,0.023019014,0.012905892,0.03381614
t_212,33.174859999999995,35.18181,0.021427298,0.019570483,0.023460282,0.013237299,0.034684498
t_213,32.881140000000016,35.06099,0.032237183,0.03057482,0.033989936,0.019915404,0.05218253
t_214,32.92475000000002,35.08714,0.032031372,0.030188484,0.03398676,0.019788256,0.051849376
t_215,32.84931,35.09684,0.033127006,0.031391237,0.03495875,0.020465113,0.053622887
t_216,32.89293000000001,35.12299,0.031510655,0.029673304,0.033461776,0.01946657,0.051006492
t_217,32.817470000000014,35.13267,0.033036243,0.031265385,0.034907404,0.020409044,0.05347597
t_218,32.93657000000002,35.14913,0.0297528,0.027842626,0.031794023,0.018380607,0.04816104
t_219,32.94839999999999,35.21111,0.028365003,0.026348772,0.030535517,0.017523257,0.045914605
t_22,32.70366000000001,34.73419,0.06232887,0.061640557,0.06302487,0.038505364,0.10089213
t_220,32.698409999999996,35.11613,0.032848064,0.031423815,0.03433687,0.02029279,0.053171363
t_221,33.08748,35.12964,0.025952145,0.024007132,0.02805474,0.016032647,0.042008895
t_222,33.01203000000001,35.1394,0.027817534,0.025887301,0.029891688,0.017185042,0.04502841
t_223,33.0557,35.16551,0.02572835,0.023791686,0.02782266,0.015894393,0.041646637
t_224,32.98022,35.17526,0.027944205,0.025986122,0.030049833,0.017263297,0.045233455
t_225,33.09939,35.19161,0.02360296,0.0216881,0.025686884,0.014581375,0.038206257
t_226,33.0239,35.20138,0.026073676,0.024094233,0.028215734,0.016107725,0.042205617
t_227,33.0676,35.22748,0.022164205,0.020352589,0.024137074,0.013692544,0.035877332
t_228,32.99207999999999,35.23723,0.025403537,0.023450788,0.027518893,0.01569373,0.04112086
t_229,33.11131,35.25357,0.022247609,0.020300357,0.024381643,0.013744068,0.03601234
t_23,32.747119999999995,34.76041,0.05578319,0.054843344,0.05673914,0.03446159,0.09029659
t_230,33.03578999999999,35.26333,0.022970552,0.021072363,0.025039729,0.014190687,0.037182573
t_231,32.96025,35.27307,0.024409989,0.022503482,0.026478015,0.015079939,0.0395126
t_232,32.92839000000001,35.3089,0.023044748,0.02121274,0.025034977,0.014236524,0.037302677
t_233,32.94024000000002,35.37084,0.021640712,0.019766025,0.023693204,0.013369143,0.035029955
t_234,33.75889999999998,35.20016,0.012352797,0.010618339,0.014370573,0.0076312786,0.01999555
t_235,33.87818999999999,35.21597,0.0107547045,0.009118101,0.012685062,0.0066440133,0.017408706
t_236,33.802760000000006,35.22607,0.011781298,0.010063582,0.013792205,0.007278219,0.01907046
t_237,33.846630000000005,35.25198,0.010682456,0.0090676695,0.0125848055,0.0065993792,0.017291756
t_238,33.771169999999984,35.26206,0.011496952,0.00983083,0.013445447,0.0071025565,0.018610187
t_239,33.89053000000001,35.27787,0.01011192,0.008529435,0.011988007,0.006246915,0.016368227
t_24,32.67187999999999,34.77004,0.061253577,0.060672894,0.061839815,0.037841074,0.09915154
t_240,34.02233000000001,35.35545,0.00829435,0.006865018,0.010021275,0.0051240614,0.013426115
t_241,33.815049999999985,35.28797,0.011602593,0.009858567,0.013655144,0.007167819,0.018781187
t_242,33.739570000000015,35.29804,0.011936837,0.010215405,0.013948352,0.007374307,0.019322231
t_243,33.934439999999995,35.30374,0.009241149,0.007745914,0.011025017,0.0057089725,0.014958704
t_244,33.858959999999996,35.31386,0.010210703,0.008621114,0.012093385,0.006307941,0.016528128
t_245,33.783450000000016,35.32395,0.009454933,0.008040172,0.0111186365,0.0058410433,0.015304757
t_246,33.978380000000016,35.3296,0.008875874,0.007392904,0.01065632,0.005483314,0.014367432
t_247,33.90288000000001,35.33975,0.009052993,0.00759534,0.01079039,0.005592734,0.014654135
t_248,33.82736,35.34985,0.009448595,0.007983858,0.011182057,0.005837128,0.015294499
t_249,33.751840000000016,35.35993,0.008526234,0.007254784,0.010020514,0.005267314,0.013801467
t_25,33.12313,34.71177,0.028928766,0.027287582,0.03066866,0.017871536,0.04682717
t_250,33.94682,35.36561,0.009014629,0.0075153457,0.010813012,0.0055690333,0.014592035
t_251,33.87128999999999,35.37574,0.008514417,0.007148877,0.010140795,0.005260014,0.013782339
t_252,33.79575,35.38583,0.008289362,0.007008411,0.009804438,0.0051209806,0.013418042
t_253,33.99078,35.39146,0.008919514,0.00738902,0.010767019,0.0055102734,0.014438071
t_254,33.91523999999998,35.40161,0.0072727688,0.0060676313,0.008717268,0.004492952,0.011772475
t_255,33.83968999999999,35.41172,0.008710491,0.007317638,0.010368461,0.0053811437,0.014099725
t_256,33.959209999999985,35.42746,0.007919609,0.0065653645,0.009553194,0.0048925546,0.012819519
t_257,33.715059999999994,35.17423,0.013421541,0.01160973,0.015516102,0.008291524,0.021725532
t_258,33.639639999999986,35.18426,0.014377628,0.012529289,0.016498638,0.008882173,0.023273155
t_259,33.5642,35.19426,0.015363788,0.013486147,0.017502848,0.0094914,0.024869459
t_26,33.04795999999999,34.72156,0.036120795,0.034365356,0.0379659,0.022314608,0.05846895
t_260,33.68346,35.21021,0.013262265,0.011484597,0.015315094,0.008193127,0.02146771
t_261,33.60801000000001,35.22022,0.013569284,0.011835699,0.015556788,0.008382796,0.021964682
t_262,33.532550000000015,35.23021,0.014737192,0.012945348,0.016777053,0.009104303,0.023855181
t_263,33.72730999999999,35.23614,0.012400414,0.010670628,0.01441061,0.007660695,0.020072626
t_264,33.65183999999999,35.24618,0.014239691,0.012341913,0.016429286,0.008796959,0.023049876
