STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
OBS_325,Schimatarion,23.57,38.33,macroseismic,280.83,4.0,0.3,0.8059,0.025065,0.875,2.1544,1.0131,0.033665,1.0822,0.025602,1.4737,0.00499,inferred,Stations_USGS
obs_230,LAMPEIA  ELIA(663),21.793,37.835,macroseismic,900.0,4.0,0.3,0.8059,0.037531,0.875,2.1544,1.0131,0.041856,1.0822,0.020981,1.4737,0.003701,inferred,Stations_USGS
OBS_367,Tragano,21.38,37.67,macroseismic,222.94,4.0,0.3,0.8059,0.02731,0.875,2.1544,1.0131,0.03526,1.0822,0.024541,1.4737,0.004683,inferred,Stations_USGS
obs_60,SKEPASTO  ACHAIA(691),22.065,38.038,macroseismic,798.77,5.0,0.3,0.8059,0.085628,0.875,5.6645,1.0131,0.181828,1.0822,0.060037,1.4737,0.012731,inferred,Stations_USGS
obs_114,LOUSIKA  ACHAIA(852),21.587,38.101,macroseismic,416.05,4.5,0.3,0.8059,0.053292,0.875,3.9349,1.0131,0.086134,1.0822,0.043341,1.4737,0.009366,inferred,Stations_USGS
OBS_243,Meligalas,21.97,37.22,macroseismic,295.15,4.0,0.3,0.8059,0.02358,0.875,2.1544,1.0131,0.032573,1.0822,0.026385,1.4737,0.00522,inferred,Stations_USGS
OBS_359,Thesprotikon,20.767,39.25,macroseismic,654.52,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_55,MICHOI  ACHAIA(690),21.483,37.969,macroseismic,402.34,5.0,0.3,0.8059,0.067916,0.875,5.6645,1.0131,0.155819,1.0822,0.0692,1.4737,0.014927,inferred,Stations_USGS
obs_135,SOPHIKO  KORINTHIA(1774),23.052,37.79,macroseismic,441.55,4.5,0.3,0.8059,0.046863,0.875,3.9349,1.0131,0.072992,1.0822,0.048265,1.4737,0.01061,inferred,Stations_USGS
OBS_42,Andritsaina,21.88,37.47,macroseismic,743.47,4.0,0.3,0.8059,0.027665,0.875,2.1544,1.0131,0.035506,1.0822,0.024386,1.4737,0.004638,inferred,Stations_USGS
obs_371,ELEFSINA  DYTIKI-ATTIKI(22793),23.535,38.046,macroseismic,283.54,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_218,NEA-ERYTHRAIA  ATHINA(12.993),23.82,38.093,macroseismic,475.18,4.0,0.3,0.8059,0.021975,0.875,2.1544,1.0131,0.031358,1.0822,0.027318,1.4737,0.0055,inferred,Stations_USGS
obs_73,GASTOUNI  ELIA(5883),21.247,37.845,macroseismic,230.18,5.0,0.3,0.8059,0.06231,0.875,5.6645,1.0131,0.139458,1.0822,0.072952,1.4737,0.015837,inferred,Stations_USGS
OBS_27,Agios Vlasios,21.47,38.78,macroseismic,592.67,4.0,0.3,0.8059,0.031798,0.875,2.1544,1.0131,0.038276,1.0822,0.022767,1.4737,0.004184,inferred,Stations_USGS
OBS_173,Kirra,22.45,38.42,macroseismic,600.0,5.0,0.3,0.8059,0.098829,0.875,5.6645,1.0131,0.196063,1.0822,0.054986,1.4737,0.011537,inferred,Stations_USGS
OBS_46,Ano Kastritsion,21.82,38.27,macroseismic,822.73,4.5,0.3,0.8059,0.063357,0.875,3.9349,1.0131,0.107631,1.0822,0.035355,1.4737,0.006899,inferred,Stations_USGS
OBS_309,Pyrgos,22.42,38.07,macroseismic,900.0,5.0,0.3,0.8059,0.089621,0.875,5.6645,1.0131,0.186237,1.0822,0.058383,1.4737,0.012338,inferred,Stations_USGS
obs_259,ISTHMIA  KORINTHIA(2247),23.018,37.924,macroseismic,550.06,4.0,0.3,0.8059,0.032686,0.875,2.1544,1.0131,0.038849,1.0822,0.02246,1.4737,0.004099,inferred,Stations_USGS
OBS_15,Agios Ioannis,23.07,36.47,macroseismic,600.0,4.0,0.3,0.8059,0.016259,0.875,2.1544,1.0131,0.026654,1.0822,0.031693,1.4737,0.006874,inferred,Stations_USGS
OBS_217,Longos,22.02,38.28,macroseismic,606.97,5.5,0.3,0.8059,0.15205,0.875,8.1544,1.0131,0.275733,1.0822,0.076,1.4737,0.015577,inferred,Stations_USGS
OBS_377,Vasilopoulon,21.067,38.583,macroseismic,721.46,4.0,0.3,0.8059,0.026926,0.875,2.1544,1.0131,0.034991,1.0822,0.024714,1.4737,0.004732,inferred,Stations_USGS
OBS_90,Distomon,22.605,38.417,macroseismic,814.83,5.0,0.3,0.8059,0.086759,0.875,5.6645,1.0131,0.183087,1.0822,0.059556,1.4737,0.012616,inferred,Stations_USGS
OBS_88,Diminio,22.534,37.984,macroseismic,900.0,4.0,0.3,0.8059,0.042847,0.875,2.1544,1.0131,0.049129,1.0822,0.018123,1.4737,0.00297,inferred,Stations_USGS
OBS_195,Kyparissia,21.67,37.25,macroseismic,489.95,4.0,0.3,0.8059,0.023216,0.875,2.1544,1.0131,0.032301,1.0822,0.026588,1.4737,0.005281,inferred,Stations_USGS
OBS_224,Machairas,21.13,38.62,macroseismic,565.16,4.0,0.3,0.8059,0.027691,0.875,2.1544,1.0131,0.035524,1.0822,0.024374,1.4737,0.004635,inferred,Stations_USGS
OBS_20,Agios Petros,22.733,37.4,macroseismic,458.4,4.0,0.3,0.8059,0.02594,0.875,2.1544,1.0131,0.034294,1.0822,0.025172,1.4737,0.004864,inferred,Stations_USGS
obs_134,SIKYONA(KIATO)  KORINTHIA(9167),22.746,38.004,macroseismic,354.81,4.5,0.3,0.8059,0.054583,0.875,3.9349,1.0131,0.08883,1.0822,0.042137,1.4737,0.008978,inferred,Stations_USGS
obs_369,VARI  ANATOLIKI-ATTIKI(8488),23.812,37.84,macroseismic,488.98,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_281,SELASSIA  LAKONIA(487),22.405,37.164,macroseismic,579.22,4.0,0.3,0.8059,0.023142,0.875,2.1544,1.0131,0.032246,1.0822,0.02663,1.4737,0.005293,inferred,Stations_USGS
obs_333,SALAMINA  PIREAS(23061),23.489,37.969,macroseismic,389.51,4.0,0.3,0.8059,0.02519,0.875,2.1544,1.0131,0.033755,1.0822,0.025539,1.4737,0.004971,inferred,Stations_USGS
obs_295,DORIO  MESSINIA(1628),21.86,37.288,macroseismic,335.13,4.0,0.3,0.8059,0.024362,0.875,2.1544,1.0131,0.033152,1.0822,0.025964,1.4737,0.005096,inferred,Stations_USGS
obs_98,POLYDROSOS  PHOKIDA(1389),22.541,38.617,macroseismic,892.18,5.0,0.3,0.8059,0.079809,0.875,5.6645,1.0131,0.175224,1.0822,0.062683,1.4737,0.013361,inferred,Stations_USGS
