STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
UTM:(16P 064 109 10000),,-85.6774,9.9032,macroseismic,600.0,6.1,0.3,0.8059,0.175942,0.875,14.0228,1.0131,0.32671,1.0822,0.178149,1.4737,0.034733,inferred,Stations_USGS
UTM:(16P 064 116 10000),,-85.6748,10.5361,macroseismic,458.35,7.3,0.3,0.8059,0.314325,0.875,33.6188,1.0131,0.583445,1.0822,0.511565,1.4737,0.097519,inferred,Stations_USGS
UTM:(16P 065 113 10000),,-85.5846,10.2645,macroseismic,275.03,7.1,0.3,0.8059,0.315308,0.875,29.0597,1.0131,0.558241,1.0822,0.403621,1.4737,0.076662,inferred,Stations_USGS
UTM:(16P 066 109 10000),,-85.4951,9.9024,macroseismic,605.59,5.9,0.3,0.8059,0.16273,0.875,12.1212,1.0131,0.299535,1.0822,0.14773,1.4737,0.028871,inferred,Stations_USGS
UTM:(16P 066 112 10000),,-85.4938,10.1737,macroseismic,557.88,7.2,0.3,0.8059,0.353051,0.875,31.2562,1.0131,0.606152,1.0822,0.423571,1.4737,0.079917,inferred,Stations_USGS
UTM:(16P 068 111 10000),,-85.3118,10.0824,macroseismic,900.0,5.2,0.3,0.8059,0.101993,0.875,7.2782,1.0131,0.1996,1.0822,0.086395,1.4737,0.017271,inferred,Stations_USGS
UTM:(16P 072 115 10000),,-84.9445,10.4419,macroseismic,493.21,5.5,0.3,0.8059,0.102695,0.875,9.0565,1.0131,0.214567,1.0822,0.122408,1.4737,0.024583,inferred,Stations_USGS
UTM:(16P 077 111 10000),,-84.4909,10.0771,macroseismic,329.15,5.6,0.3,0.8059,0.102026,0.875,9.7411,1.0131,0.218785,1.0822,0.138228,1.4737,0.027821,inferred,Stations_USGS
UTM:(16P 078 110 10000),,-84.4005,9.9861,macroseismic,476.4,5.6,0.3,0.8059,0.099173,0.875,9.7411,1.0131,0.215546,1.0822,0.140652,1.4737,0.028368,inferred,Stations_USGS
UTM:(16P 078 114 10000),,-84.3975,10.3475,macroseismic,618.11,4.4,0.3,0.8059,0.046205,0.875,4.0631,1.0131,0.060766,1.0822,0.054812,1.4737,0.011461,inferred,Stations_USGS
UTM:(16P 080 107 10000),,-84.2205,9.7136,macroseismic,900.0,4.8,0.3,0.8059,0.056579,0.875,5.438,1.0131,0.098721,1.0822,0.077473,1.4737,0.016068,inferred,Stations_USGS
UTM:(16P 080 109 10000),,-84.219,9.8943,macroseismic,900.0,4.5,0.3,0.8059,0.047447,0.875,4.3703,1.0131,0.066507,1.0822,0.060654,1.4737,0.01268,inferred,Stations_USGS
UTM:(16P 080 110 10000),,-84.2182,9.9847,macroseismic,381.51,5.7,0.3,0.8059,0.100389,0.875,10.4774,1.0131,0.221958,1.0822,0.157018,1.4737,0.031694,inferred,Stations_USGS
UTM:(16P 080 111 10000),,-84.2174,10.075,macroseismic,593.25,6.5,0.3,0.8059,0.165217,0.875,18.768,1.0131,0.346407,1.0822,0.296291,1.4737,0.058433,inferred,Stations_USGS
UTM:(16P 081 104 10000),,-84.1317,9.4419,macroseismic,287.05,4.2,0.3,0.8059,0.036497,0.875,3.5121,1.0131,0.041363,1.0822,0.049328,1.4737,0.010442,inferred,Stations_USGS
UTM:(16P 081 109 10000),,-84.1278,9.8936,macroseismic,698.0,5.4,0.3,0.8059,0.081252,0.875,8.4201,1.0131,0.185415,1.0822,0.125632,1.4737,0.025628,inferred,Stations_USGS
UTM:(16P 081 110 10000),,-84.127,9.9839,macroseismic,485.3,5.4,0.3,0.8059,0.081436,0.875,8.4201,1.0131,0.185635,1.0822,0.125459,1.4737,0.025588,inferred,Stations_USGS
UTM:(16P 081 111 10000),,-84.1262,10.0742,macroseismic,655.42,4.8,0.3,0.8059,0.056077,0.875,5.438,1.0131,0.097594,1.0822,0.077898,1.4737,0.016166,inferred,Stations_USGS
UTM:(16P 082 109 10000),,-84.0367,9.8927,macroseismic,393.78,5.1,0.3,0.8059,0.066031,0.875,6.7667,1.0131,0.142529,1.0822,0.100271,1.4737,0.020665,inferred,Stations_USGS
UTM:(16P 082 110 10000),,-84.0359,9.983,macroseismic,383.67,5.4,0.3,0.8059,0.079739,0.875,8.4201,1.0131,0.183592,1.0822,0.127088,1.4737,0.025961,inferred,Stations_USGS
UTM:(16P 083 109 10000),,-83.9457,9.892,macroseismic,411.61,4.0,0.3,0.8059,0.026415,0.875,2.6996,1.0131,0.031055,1.0822,0.039259,1.4737,0.007758,inferred,Stations_USGS
UTM:(16P 086 103 10000),,-83.6778,9.3476,macroseismic,384.35,5.8,0.3,0.8059,0.092753,0.875,11.2693,1.0131,0.217848,1.0822,0.185377,1.4737,0.037703,inferred,Stations_USGS
UTM:(16P 093 110 10000),,-83.0342,9.9727,macroseismic,290.75,3.6,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(16P 098 103 10000),,-82.5874,9.3357,macroseismic,664.31,3.6,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(16P 100 093 10000),,-82.4171,8.4318,macroseismic,333.36,3.8,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(16P 100 097 10000),,-82.4128,8.7924,macroseismic,900.0,3.8,0.3,,,,,,,,,,,inferred,Stations_USGS
