STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE
R21M,R21M,-33.381,-70.796,seismic,Stations_CSN,0.0875761383,0.1698029397,0.1536725508,0.092430384,0,0,0,0,0.0852767378,0.1698029397,0.1536725508,0.092430384,0.0875761383,0.1540439661,0.1415658034,0.0914265267,0.0456908996,0.0691477419,0.0740855017,0.1127661509,347,inferred
R22M,R22M,-33.453,-70.592,seismic,Stations_CSN,0.0387850965,0.0771022041,0.0727976285,0.06310761,0,0,0,0,0.0387850965,0.0763533758,0.0727976285,0.06310761,0.03829333,0.0771022041,0.0616972716,0.0558994261,0.0183517377,0.0464210271,0.0356180642,0.0364277231,647,inferred
R23M,R23M,-33.585,-70.701,seismic,Stations_CSN,0.0412201516,0.1285050845,0.0716570133,0.048056552,0,0,0,0,0.0412201516,0.1285050845,0.0572892379,0.048056552,0.0399241429,0.0979383025,0.0716570133,0.0376984306,0.024238179,0.0561560381,0.0281515037,0.022566751,,
ROC1,ROC1,-32.976,-71.016,seismic,Stations_CSN,0.0823977819,0.1467051815,0.1235242684,0.1077819128,0,0,0,0,0.0430292358,0.0753000956,0.1081636751,0.1077819128,0.0823977819,0.1467051815,0.1235242684,0.0826829983,0.0286847913,0.0586745826,0.0426628435,0.0475155143,1951,inferred
V01A,V01A,-33.053,-71.622,seismic,Stations_CSN,0.0498261379,0.0920432305,0.0850722548,0.0251220744,0,0,0,0,0.0451244029,0.0863856867,0.0850722548,0.0240429299,0.0498261379,0.0920432305,0.046567452,0.0251220744,0.0219293779,0.0504985123,0.0391088392,0.0257086866,607,inferred
V02A,V02A,-33.023,-71.518,seismic,Stations_CSN,0.1395385276,0.0891945001,0.0453656168,0.0219213386,0,0,0,0,0.0886862845,0.0870214717,0.0453656168,0.0219213386,0.1395385276,0.0891945001,0.0417987439,0.0208678508,0.0515077516,0.0432328212,0.0266311694,0.0197163684,596,inferred
V07A,V07A,-33.365,-71.669,seismic,Stations_CSN,0.037244978,0.0929272814,0.0848238836,0.0390767726,0,0,0,0,0.0328043895,0.0809835746,0.0396107281,0.0318997928,0.037244978,0.0929272814,0.0848238836,0.0390767726,0.0148450233,0.0345108796,0.0342824411,0.0197950008,549,inferred
V09A,V09A,-33.048,-71.604,seismic,Stations_CSN,0.0550038466,0.202931357,0.1855654455,0.0832223826,0,0,0,0,0.049670277,0.202931357,0.1306818339,0.0832223826,0.0550038466,0.1254299278,0.1855654455,0.0473550517,0.0306060484,0.1155516298,0.0429516988,0.0211162455,212,inferred
V15A,V15A,-32.915,-71.232,seismic,Stations_CSN,0.138892217,0.4125425595,0.1103130059,0.0448917399,0,0,0,0,0.138892217,0.4125425595,0.1103130059,0.0372284933,0.0920226626,0.3422424869,0.0812098566,0.0448917399,0.0610036229,0.0658692315,0.0371218833,0.0273112092,323,inferred
V16A,V16A,-33.59,-71.605,seismic,Stations_CSN,0.0353346561,0.055174021,0.0268938024,0.0174577939,0,0,0,0,0.0353346561,0.0505867054,0.0268938024,0.0174577939,0.031353955,0.055174021,0.0261098577,0.0146207366,0.0170310846,0.0224606196,0.025754372,0.0164361072,477,inferred
V17A,V17A,-33.605,-71.614,seismic,Stations_CSN,0.0599029505,0.1632012461,0.1816928047,0.1642001142,0,0,0,0,0.0599029505,0.1632012461,0.1816928047,0.1642001142,0.050295878,0.1349139792,0.1343268717,0.08909086,0.0323240643,0.1216299794,0.0932341664,0.0266726911,281,inferred
V22A,V22A,-33.02,-71.636,seismic,Stations_CSN,0.0207613568,0.0555507896,0.0465387489,0.0346125616,0,0,0,0,0.0207613568,0.0555507896,0.0465387489,0.0346125616,0.0193992254,0.0484344523,0.0297009499,0.022733483,0.0115832637,0.0277400712,0.017522244,0.0123411739,854,inferred
V24A,V24A,-33.622,-71.613,seismic,Stations_CSN,0.028955077,0.0752488029,0.0557897625,0.0264517812,0,0,0,0,0.028955077,0.0752488029,0.0557897625,0.0229319926,0.02871545,0.062659236,0.0407231371,0.0264517812,0.0179329697,0.0501772419,0.0316673333,0.0187109725,,
VA01,VA01,-33.023,-71.637,seismic,Stations_CSN,0.0504831027,0.0652307693,0.0499323882,0.0270512032,0,0,0,0,0.0380364854,0.0652307693,0.0499323882,0.0270512032,0.0504831027,0.0420862542,0.0311797954,0.0174748203,0.0164017267,0.0391645544,0.0215886082,0.0104040871,882,inferred
VA03,VA03,-32.764,-70.551,seismic,Stations_CSN,0.1380218491,0.2100469352,0.1211538955,0.057232442,0,0,0,0,0.1380218491,0.2100469352,0.1211538955,0.0497895563,0.0945287811,0.1532354071,0.1089519492,0.057232442,0.0506369367,0.1191253875,0.0493863463,0.0610897175,937,inferred
VA05,VA05,-33.657,-71.614,seismic,Stations_CSN,0.0372180763,0.1037969049,0.0603716385,0.0301613077,0,0,0,0,0.0372180763,0.1037969049,0.0603716385,0.0301613077,0.031576146,0.0764327039,0.0504874819,0.017964479,0.0210653382,0.0449446621,0.0194049278,0.0155596389,485,inferred
VA06,VA06,-32.561,-71.298,seismic,Stations_CSN,0.0851908211,0.2767381496,0.1809817457,0.0627608255,0,0,0,0,0.0818941949,0.1950315123,0.1809817457,0.0590448646,0.0851908211,0.2767381496,0.1766125468,0.0627608255,0.0445914163,0.1119919239,0.0477078172,0.0412592613,715,inferred
